price,carpet_area,bedroom,bathroom,transaction_type,floor_category,luxury_category,property_type,regions,balconies_iter,furnished_status_imputed,additional_room
0.4,720.0,2.0,2.0,resale,Low Floor,Low,flat,navi mumbai,2.0,0,0.0
1.5,1660.0,4.0,4.0,resale,Low Floor,High,residential,bangalore,2.0,0,1.0
1.0,754.0,2.0,2.0,resale,Mid Floor,Low,flat,noida,2.0,1,0.0
1.95,1377.0,3.0,3.0,new property,High Floor,Low,flat,pune,3.0,0,0.0
1.1,800.0,2.0,2.0,resale,Mid Floor,Low,flat,navi mumbai,4.0,2,0.0
1.5,1395.0,3.0,2.0,resale,High Floor,Medium,flat,greater noida,3.0,0,0.0
1.0,699.0,2.0,2.0,resale,High Floor,Low,flat,thane,2.0,1,0.0
0.6,1000.0,2.0,2.0,new property,Mid Floor,Low,flat,bangalore,2.0,0,0.0
0.5,589.0,2.0,2.0,resale,Mid Floor,Low,builder-floor,navi mumbai,2.0,1,0.0
2.36,1407.0,2.0,2.0,new property,Mid Floor,High,flat,bangalore,2.0,0,0.0
1.22,1272.0,3.0,3.0,resale,High Floor,Medium,flat,noida,3.0,0,1.0
1.45,738.0,2.0,2.0,resale,Mid Floor,Low,flat,navi mumbai,2.0,0,0.0
1.35,1414.0,3.0,3.0,resale,Low Floor,Medium,flat,bangalore,2.0,1,0.0
0.65,590.0,2.0,2.0,resale,Mid Floor,Medium,flat,navi mumbai,2.0,0,0.0
0.39,440.0,2.0,2.0,resale,Low Floor,Low,flat,bangalore,2.0,0,0.0
2.0,1700.0,4.0,4.0,resale,Low Floor,Medium,flat,bangalore,2.0,2,1.0
3.46,1500.0,3.0,4.0,new property,Low Floor,High,flat,noida,3.0,0,1.0
1.3,562.0,3.0,2.0,resale,Mid Floor,Low,flat,thane,3.0,1,0.0
1.15,1200.0,3.0,3.0,resale,Mid Floor,Medium,flat,bangalore,3.0,0,0.0
4.25,2120.0,4.0,4.0,resale,High Floor,Medium,villa,bangalore,3.0,1,0.0
